model_label,condition_clean,domain,category,n_attempted,n_valid,n_judge_parse_fail,n_unscorable,mirage_count,mirage_rate,recognition_count,recognition_rate,explicit_abstention_count,explicit_abstention_rate,hedged_answer_count,hedged_answer_rate,confident_answer_count,confident_answer_rate,hard_mirage_count,hard_mirage_rate,soft_mirage_count,soft_mirage_rate
Qwen-7B,explicit,science,science_astronomy,10,10,0,0,1,0.1,9,0.9,9,0.9,0,0.0,1,0.1,0,0.0,1,0.1
SmolVLM,implicit,science,science_chemistry,10,8,0,2,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,8,1.0,0,0.0
SmolVLM,explicit,science,science_chemistry,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,8,0.8,2,0.2
Qwen-3B,implicit,science,science_chemistry,10,8,0,2,2,0.25,6,0.75,6,0.75,0,0.0,2,0.25,1,0.125,1,0.125
Qwen-3B,explicit,science,science_chemistry,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,science,science_chemistry,10,7,0,3,1,0.14285714285714285,6,0.8571428571428571,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,science,science_chemistry,10,9,0,1,0,0.0,9,1.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,technical,technical_architecture,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,10,1.0,0,0.0
SmolVLM,explicit,technical,technical_architecture,10,10,0,0,10,1.0,0,0.0,0,0.0,0,0.0,10,1.0,10,1.0,0,0.0
Qwen-3B,implicit,technical,technical_architecture,10,10,0,0,1,0.1,9,0.9,9,0.9,1,0.1,0,0.0,0,0.0,0,0.0
Qwen-3B,explicit,technical,technical_architecture,10,9,1,0,0,0.0,9,1.0,9,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,technical,technical_architecture,10,10,0,0,1,0.1,9,0.9,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,technical,technical_architecture,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
SmolVLM,implicit,technical,technical_circuits,10,9,0,1,9,1.0,0,0.0,0,0.0,0,0.0,9,1.0,8,0.8888888888888888,1,0.1111111111111111
SmolVLM,explicit,technical,technical_circuits,10,10,0,0,9,0.9,1,0.1,1,0.1,0,0.0,9,0.9,8,0.8,1,0.1
Qwen-3B,implicit,technical,technical_circuits,10,6,0,4,2,0.3333333333333333,4,0.6666666666666666,4,0.6666666666666666,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666,0,0.0
Qwen-3B,explicit,technical,technical_circuits,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,implicit,technical,technical_circuits,10,10,0,0,1,0.1,9,0.9,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
Qwen-7B,explicit,technical,technical_circuits,10,10,0,0,0,0.0,10,1.0,10,1.0,0,0.0,0,0.0,0,0.0,0,0.0
